appid,name,tags,price,reviews,reviewScore,copiesSold,revenue,followers,genres
610370,Desperados III,"['Strategy', 'Real Time Tactics', 'Stealth', 'Western', 'Tactical', 'Isometric', 'Singleplayer', 'Assassin', 'Difficult', 'Third Person', 'Action', 'Atmospheric', 'Historical', 'Violent', 'Adventure', 'Top-Down', 'Indie', 'Survival', 'RTS', 'Great Soundtrack']",39.99,13200,97,336035,8423632,78872,['Strategy']
2050650,Resident Evil 4,"['Horror', 'Action', 'Survival Horror', 'Third-Person Shooter', 'Singleplayer', 'Zombies', 'Story Rich', 'Survival', 'Cinematic', 'Dark', 'Realistic', 'Remake', 'Gore', 'Resource Management', 'Adventure', 'Third Person', 'Violent', 'Psychological Horror', 'Action-Adventure', '3D']",39.99,136772,98,2983726,115188023,247993,"['Action', 'Adventure']"
975370,Dwarf Fortress,"['Colony Sim', 'Dwarf', 'Strategy', 'Simulation', 'City Builder', 'Base Building', 'Management', 'Sandbox', 'Building', 'Survival', 'Roguelike', 'Open World', 'Procedural Generation', 'Resource Management', 'Fantasy', 'Crafting', 'Economy', 'Moddable', 'Exploration', 'Difficult']",29.99,25664,95,877295,23669038,190194,"['Indie', 'Simulation', 'Strategy']"
1388880,Doki Doki Literature Club Plus!,"['Psychological Horror', 'Visual Novel', 'Anime', 'Dating Sim', 'Sexual Content', 'Cute', 'Romance', 'Story Rich', 'Multiple Endings', 'Gore', 'Singleplayer', '2D', 'Violent', 'Interactive Fiction', 'Text-Based', 'Conversation', 'Dark Humor', 'Indie', 'Casual', 'Choose Your Own Adventure']",14.99,23700,97,498349,4915025,65586,"['Casual', 'Indie']"
391540,Undertale,"['Great Soundtrack', 'Story Rich', 'Choices Matter', 'Multiple Endings', 'Pixel Graphics', 'Funny', 'RPG', 'Singleplayer', 'Indie', 'Comedy', '2D', 'Replay Value', 'Bullet Hell', 'Cute', 'Memes', 'Retro', 'Dark', 'Psychological Horror', 'Dating Sim', 'Horror']",9.99,219625,0,6279843,33123920,360512,"['Indie', 'RPG']"
698780,Doki Doki Literature Club!,"['Psychological Horror', 'Visual Novel', 'Anime', 'Free to Play', 'Dating Sim', 'Horror', 'Cute', 'Dark', 'Story Rich', 'Romance', 'Singleplayer', 'Great Soundtrack', 'Gore', 'Violent', 'Indie', 'Sexual Content', 'Memes', 'First-Person', 'Casual', 'Adventure']",0,205580,97,6290797,46401.25234020436,156947,"['Casual', 'Free To Play', 'Indie']"
683320,GRIS,"['Beautiful', 'Atmospheric', 'Great Soundtrack', 'Indie', 'Female Protagonist', 'Adventure', 'Hand-drawn', 'Platformer', 'Singleplayer', 'Relaxing', '2D', 'Story Rich', 'Puzzle', 'Colorful', 'Puzzle Platformer', 'Surreal', 'Casual', 'Exploration', 'Walking Simulator', 'Anime']",14.99,70674,97,1577536,9078559,129541,"['Adventure', 'Indie']"
268910,Cuphead,"['Difficult', 'Cartoon', 'Co-op', 'Platformer', 'Great Soundtrack', 'Local Co-Op', '2D', 'Hand-drawn', 'Multiplayer', 'Indie', 'Retro', 'Cartoony', 'Bullet Hell', 'Action', ""Shoot 'Em Up"", 'Singleplayer', 'Side Scroller', 'Colorful', 'Funny', 'Souls-like']",19.99,158954,96,5416204,76374487,325815,"['Action', 'Indie']"
427520,Factorio,"['Automation', 'Base Building', 'Resource Management', 'Sandbox', 'Crafting', 'Strategy', 'Multiplayer', 'Survival', 'Management', 'Open World', 'Building', 'Co-op', '2D', 'Moddable', 'Singleplayer', 'Trains', 'Simulation', 'Pixel Graphics', 'City Builder', 'Indie']",35,179137,97,4769770,130437182,386183,"['Casual', 'Indie', 'Simulation', 'Strategy']"
413420,Danganronpa 2: Goodbye Despair,"['Anime', 'Detective', 'Visual Novel', 'Mystery', 'Story Rich', 'Great Soundtrack', 'Singleplayer', 'Psychological Horror', 'Adventure', 'Dark Comedy', 'Horror', 'Puzzle', 'Atmospheric', 'Dark', 'Comedy', 'Mature', 'Memes', 'Dating Sim', 'Funny', 'Walking Simulator']",19.99,24179,96,856283,8594493,50228,['Adventure']
