appid,name,tags,price,reviews,reviewScore,copiesSold,revenue,followers,genres
1061910,Metal: Hellsinger,"['Rhythm', 'FPS', 'Atmospheric', 'Singleplayer', 'Music', 'Shooter', 'Action', 'Demons', 'Combat', 'First-Person', 'Female Protagonist', 'Adventure', 'Score Attack', '3D', 'Dark Fantasy', 'Dark', 'Stylized', 'Cinematic', 'Narration', 'Fantasy']",29.99,13660,96,524245,8430427,56310,"['Action', 'Adventure']"
213670,South Park™: The Stick of Truth™,"['RPG', 'Comedy', 'Adventure', 'Funny', 'Dark Humor', 'Turn-Based', 'Singleplayer', 'Action', 'Mature', '2D', 'Satire', 'Nudity', 'Cartoon', 'Open World', 'Story Rich', 'Fantasy', 'Epic', 'Turn-Based Strategy', 'Zombies', 'JRPG']",29.99,60735,98,2954759,36153363,118572,"['Action', 'Adventure', 'RPG']"
1562700,SANABI,"['Pixel Graphics', 'Action', 'Story Rich', 'Cyberpunk', 'Adventure', '2D Platformer', 'Action-Adventure', '2D', 'Singleplayer', 'Platformer', 'Indie', 'Retro', 'Difficult', 'Side Scroller', 'Atmospheric', 'Great Soundtrack', 'Precision Platformer', 'Linear', 'Sci-fi', 'Dystopian']",14.99,30093,98,493032,4996541,25775,"['Action', 'Adventure', 'Indie']"
466630,The Pedestrian,"['Puzzle', 'Puzzle Platformer', 'Logic', 'Side Scroller', 'Platformer', 'Atmospheric', '2D Platformer', 'Female Protagonist', '2.5D', '3D', 'Building', 'Mystery', 'Adventure', 'Relaxing', 'Colorful', 'Cute', 'Surreal', 'Minimalist', 'Family Friendly', 'Emotional']",19.99,4313,97,119899,1319389,16029,"['Adventure', 'Indie']"
2375550,Like a Dragon Gaiden: The Man Who Erased His Name,"['Action', ""Beat 'em up"", 'Action RPG', 'Action-Adventure', 'Violent', 'Story Rich', 'Sexual Content', 'Martial Arts', 'Singleplayer', 'JRPG', 'Open World', 'Comedy', 'Gore', 'Adventure', 'Hack and Slash', 'Great Soundtrack', 'Emotional', 'Third Person', 'Mature', 'Dog']",49.99,8034,97,247907,9720920,35199,"['Action', 'Adventure']"
205100,Dishonored,"['Stealth', 'First-Person', 'Assassin', 'Action', 'Steampunk', 'Singleplayer', 'Atmospheric', 'Story Rich', 'Multiple Endings', 'Adventure', 'Dark', 'Magic', 'Dystopian', 'FPS', 'RPG', 'Replay Value', 'Immersive Sim', 'Fantasy', 'Open World', 'Shooter']",9.99,78102,98,3816564,25168384,91935,"['Action', 'Adventure']"
220,Half-Life 2,"['FPS', 'Action', 'Sci-fi', 'Classic', 'Singleplayer', 'Story Rich', 'Shooter', 'First-Person', 'Adventure', 'Dystopian', 'Atmospheric', 'Zombies', 'Silent Protagonist', 'Physics', 'Aliens', 'Great Soundtrack', 'Horror', 'Multiplayer', 'Puzzle', 'Moddable']",9.99,190652,98,11057654,42727229,91971,['Action']
550,Left 4 Dead 2,"['Zombies', 'Co-op', 'FPS', 'Multiplayer', 'Shooter', 'Online Co-Op', 'Action', 'Survival', 'Horror', 'First-Person', 'Gore', 'Team-Based', 'Moddable', 'Survival Horror', 'Post-apocalyptic', 'Singleplayer', 'Adventure', 'Local Co-Op', 'Replay Value', 'Tactical']",9.99,851228,98,42592982,265576318,1177846,['Action']
850190,Goat Simulator 3,"['Physics', 'Exploration', 'Sandbox', 'Open World', 'Character Customization', 'Simulation', '3D', 'Casual', 'Action-Adventure', 'Comedy', 'Cartoony', 'Colorful', 'Adventure', 'Family Friendly', 'Co-op', 'Multiplayer', 'Local Co-Op', 'Online Co-Op', 'Singleplayer', 'Local Multiplayer']",29.99,7396,0,247096,3231820,21368,"['Adventure', 'Casual', 'Simulation']"
1623940,Bramble: The Mountain King,"['Horror', 'Adventure', 'Cinematic', 'Atmospheric', 'Mythology', 'Dark Fantasy', 'Emotional', 'Dark', 'Narration', '3D', 'Singleplayer', 'Lore-Rich', 'Third Person', 'Gore', 'Exploration', 'Survival Horror', 'Story Rich', 'Linear', 'Action-Adventure', '3D Platformer']",29.99,4192,95,137548,2418827,25148,"['Adventure', 'Indie']"
