Sales,Dev,Pub,IP,Date,Gap,Player,Price,IMDB,Rawg,Chinese,French,Spanish,Japanese,Korean,Russian,Turkish,Portuguese,Polish,Action,ActionAdventure,Role-Playing,Strategy,Adventure,First-Person,Fighting,Puzzle,Arcade,Sci-Fi,Open-world,Survival,PC,PS4,XBOX,NS,Youtube,Twitch,UserScore,CriticScore,Ratings,Media,SteamCCU,SteamComments,SteamFollowers,VGTime,Douban
5000000,8,9,5,42031,200,1,40,2481,1989,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,331407,134887,7,75,3340,124,45876,117849,461960,714,1017
5000000,9,9,8,41961,86,2,30,6916,2795,1,1,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,495006,4862,7,85,3775,115,16963,23815,273062,731,1760
5000000,9,9,10,42304,92,2,20,1988,1073,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,137608,128338,6,84,2837,101,0,0,0,1506,378
5000000,9,9,10,43494,7,0,60,1127,725,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,93732,127041,8,83,2434,110,0,0,0,1825,251
5000000,7,9,8,41702,711,0,40,3453,2942,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,229588,29136,8,87,2069,55,34811,28407,106334,365,264
4700000,8,8,8,43490,246,0,30,2218,1087,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,190048,314244,9,93,4250,137,74277,23616,223795,3270,247
4700000,8,10,1,42055,1675,0,20,1630,2045,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,94538,4011,6,63,3552,94,0,0,0,1981,1325
4700000,10,10,10,42969,761,2,20,3584,1791,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,79796,59504,7,84,1123,104,0,0,0,2276,1524
4654955,8,8,4,41450,1832,2,20,209,3830,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,43498,7590,2,80,5724,82,10349,32870,96608,1542,375
4590000,10,10,10,43476,262,0,60,92,86,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,70916,23701,7,80,199,70,0,0,0,808,466
4563627,9,9,7,41358,262,0,15,1201,6778,1,1,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,166104,16259,8,94,8158,68,1723,89158,114915,1386,3994
4500000,6,9,6,42650,7,0,40,2311,3302,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,159509,79661,5,68,3203,119,2368,29190,184276,1329,656
4500000,6,6,2,41957,1601,0,20,432,2743,1,1,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,64528,17603,8,83,828,62,3140,46946,279854,870,5366
4309358,6,6,1,42573,709,2,15,34,2051,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,47101,26630,7,81,404,21,20116,133993,244615,210,432
4200000,7,9,8,43578,68,2,60,1085,830,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,118247,202719,3,86,3010,135,27301,13497,15422,240,111
4120000,8,9,8,43357,158,0,60,2126,1624,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,115054,83572,7,82,1719,139,5733,13968,160566,1175,147
4100000,6,6,1,43581,149,0,60,1551,795,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,143316,132741,8,71,4320,109,0,0,0,1421,261
4000000,6,6,6,41358,1859,2,30,46,1093,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,571337,55686,7,74,990,38,32582,96647,537160,44,373
4000000,8,8,8,42472,282,1,60,2023,3891,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,348785,275893,8,89,6250,139,129975,139219,490639,6758,5101
4000000,6,6,3,41631,1692,2,45,5,707,1,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,354055,79522,4,69,211,11,18792,210414,404958,30,111
4000000,9,9,8,43347,64,0,60,199,485,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,18611,23595,8,86,1017,90,11793,3527,46751,3779,938
4000000,4,4,1,42573,698,1,15,27,1731,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,43390,73386,7,73,109,56,29968,49880,285826,272,1993
4000000,7,9,8,42166,124,0,20,828,543,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,171923,1987,7,72,185,82,3498,2266,27523,61,48
4000000,8,9,4,42811,803,0,60,1272,2577,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,132124,130151,8,88,4291,113,23908,36378,391876,5990,4416
4000000,8,8,8,42888,777,2,40,513,1027,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,142706,236556,6,82,986,113,8118,24894,114072,1039,324
4000000,7,9,7,41779,352,0,10,3905,4285,1,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,171643,109501,8,81,3814,114,2737,31983,111808,377,667
3930000,10,10,10,43644,94,1,60,136,166,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,152230,84896,8,88,525,97,0,0,0,1091,384
3900000,8,8,8,42416,1320,1,20,306,958,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,181875,212889,3,77,1831,113,4422,20397,76419,893,533
3800000,8,9,3,43546,143,0,60,764,1745,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,163669,279037,8,91,3851,131,125315,48353,336343,5876,4322
3605148,4,4,1,41774,1508,1,15,209,2384,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7912,152739,7,85,247,17,1370,51672,126668,153,1018
3600000,8,9,8,42503,217,2,10,3305,5206,1,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,316336,169268,8,87,5463,196,5623,88882,320474,1508,974
3600000,5,5,3,42962,350,0,10,1517,2740,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,108353,216515,8,93,4819,69,2412,109323,282982,647,2169
3571428,9,9,8,43186,5,2,60,3378,2294,1,1,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,218459,258270,6,82,2822,146,17762,41861,324672,1192,1345
3500000,7,8,10,43126,280,1,60,311,680,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,190212,241067,8,88,756,130,5400,17762,120312,1671,278
3500000,5,6,1,42426,693,0,15,376,3140,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,69373,50884,8,89,1480,65,24919,177195,443663,2150,4435
3250000,6,7,2,42073,735,0,15,266,3078,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,152842,29307,8,85,1668,60,24892,92543,391238,406,162
3200000,8,10,5,43245,497,0,20,8156,2897,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,138020,236767,8,78,3158,104,0,0,0,3075,7082
3130000,10,10,10,43728,10,0,60,108,159,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,28672,57713,8,87,641,106,0,0,0,2241,1201
