Sales,Date,Gap,PriceMax,PriceMin,Rawg,Youtube,TwitchPChannel,TwitchPViewer,MCUserScore,MCCriticScore,MCUserRatings,MCMediaRatings,SteamCCU,SteamComments,SteamFollowers,Douban,Google Trends
4120000,43357,401,60,20,1624,115054,1241,83572,7.4,82,1719,139,5733,13968,160566,147,2.777777778
4100000,43581,203,60,20,795,143316,1857,132741,8,71,4320,109,,,,261,5
4000000,41358,1859,30,10,1093,571337,422,55686,7.5,74,990,38,32582,96647,537160,373,2.325581395
4000000,42472,282,60,15,3891,348785,3238,275893,8.8,89,6250,139,129975,139219,490639,5101,0.45
4000000,41631,1692,45,31,707,354055,413,79522,4,69,211,11,18792,210414,404958,111,10
4000000,43347,64,60,30,485,18611,18,23595,8.7,86,1017,90,11793,3527,46751,938,1.470588235
4000000,42573,698,15,7,1731,43390,115,73386,7.7,73,109,56,29968,49880,285826,1993,0.64
4000000,42166,124,20,4,543,171923,10,1987,7.2,72,185,82,3498,2266,27523,48,2.857142857
4000000,42811,803,60,27,2577,132124,537,130151,8.9,88,4291,113,23908,36378,391876,4416,4
4000000,42888,777,40,12,1027,142706,508,236556,6.8,82,986,113,8118,24894,114072,324,3.846153846
4000000,44001,8,60,60,1289,217288,5893,508463,4.6,94,87987,107,,,,3282,1.176470588
4000000,41779,352,60,6,4285,171643,49,109501,8.2,81,3814,114,2737,31983,111808,667,3.571428571
3930000,43644,94,60,60,166,152230,1028,84896,8.5,88,525,97,,,,384,0.76
3900000,42416,1320,20,8,958,181875,760,212889,3.6,77,1831,113,4422,20397,76419,533,1.030927835
3800000,43546,143,60,39,1745,163669,4679,279037,8,91,3851,131,125315,48353,336343,4322,1.388888889
3700000,44158,1,60,60,24,27888,25786,1135186,5.8,82,906,22,,,,81,0.11
3605148,41774,1508,15,3,2384,7912,19,152739,7.9,85,247,17,1370,51672,126668,1018,0.55
3600000,42503,217,60,10,5206,316336,1704,169268,8.5,87,5463,196,5623,88882,320474,974,14.28571429
3600000,42962,350,10,4,2740,108353,233,216515,8.3,93,4819,69,2412,109323,282982,2169,6.666666667
3571428.571,43186,5,60,15,2294,218459,2864,258270,6.8,82,2822,146,17762,41861,324672,1345,12.5
3500000,43126,280,60,15,680,190212,1894,241067,8.1,88,756,130,5400,17762,120312,278,3.03030303
3500000,43931,3,60,60,754,15012,9298,216303,8,88,3428,106,,,,685,1.19047619
3500000,44288,48,59.99,59.99,176,80418,6624,178757,7.1,74,1349,123,125143,33471,120657,47,6.666666667
3500000,42426,693,15,9,3140,69373,479,50884,8.8,89,1480,65,24919,177195,443663,4435,10
3250000,42073,735,30,7.5,3078,152842,109,29307,8.9,85,1668,60,24892,92543,391238,162,4.166666667
3200000,43245,497,20,8,2897,138020,856,236767,8.7,78,3158,104,,,,7082,3.571428571
3130000,43728,10,60,60,159,28672,1006,57713,8.5,87,641,106,,,,1201,0.02
3010000,42797,849,50,35,55,457838,14,15355,4.8,58,422,63,,,,716,0.02
3000000,42087,1513,60,7,3897,306124,476,245345,8.9,92,8820,100,,,,3857,12.5
3000000,42556,426,25,8,2007,19892,159,129390,7.8,77,489,73,263,5446,40924,86,0.65
3000000,43718,3,60,30,1066,35164,2273,57682,8.6,84,2484,109,9878,7351,57252,291,4.166666667
3000000,43802,11,40,40,1659,7283,3441,136672,7.5,85,1484,69,161024,39167,343442,295,0.32
3000000,44155,4,60,60,18,15137,512,17498,8,79,165,69,,,,186,0.5
3000000,42297,576,80,0,6874,70557,69,21098,8.6,85,3923,42,18260,129210,254064,7093,2.857142857
3000000,44079,63,60,60,480,554723,2454,202263,5.1,68,2591,126,31165,9855,81842,128,0.33
3000000,42248,21,60,9,5119,312740,149,9967,8.2,95,8289,109,4048,48676,244598,3555,1.369863014
3000000,42873,1386,19.99,7,1738,66366,101,7003,8,77,126,55,6545,13901,168485,245,0.84
3000000,44323,4,69.99,69.99,157,148358,15148,654601,8.8,86,1307,544,106631,14720,83296,502,9.090909091
3000000,41747,2446,19.99,8.99,2308,1373,92,58789,8,0,45,0,37198,22840,160856,50,0.51
3000000,41926,102,60,5,2204,179825,138,18349,7.5,79,2946,107,556,14120,81645,1611,6.25
2939567,43081,201,20,10,625,60276,56,48314,8.3,69,73,22,485,17201,228417,102,0.62
2820000,44029,75,60,60,64,428506,935,40084,6.9,80,1459,114,,,,481,0.24
2819052,42479,803,10,2.5,1860,14224,57,104100,7.6,84,78,13,853,23835,65683,101,0.15
2800000,42790,720,15,7,2913,32919,147,177178,9,90,1495,59,6665,61820,178801,2918,1.492537313
2750000,42283,679,30,6,1368,24053,215,11021,7.2,80,1986,101,18092,42780,265915,51,2.941176471
2750000,43273,373,60,40,102,85030,348,56535,7.1,75,445,86,,,,607,0.74
2700000,42829,750,60,9,1655,114249,488,45615,8.7,93,3865,98,,,,4221,10
2606575,41935,1347,40,10,970,13363,6,3242,5.5,81,1051,78,1372,18345,148784,415,0.04
2602292,41409,1347,15,7,2932,13075,14,6189,7.6,77,386,28,278,13207,34288,22,0.25
2600000,42822,950,60,10,74,48998,101,17953,6.9,85,152,45,,,,0,0.8
2560000,43175,380,60,40,65,87747,186,24135,7.4,73,410,83,,,,854,0.61
2500000,43532,114,60,30,1477,104305,2636,140428,8.7,89,2966,127,88735,30314,53146,2363,2.702702703
2500000,42684,7,60,40,3103,103009,389,180946,7.9,88,2083,127,3690,29304,217355,1030,4
2500000,42464,1089,15,7,1771,41840,307,139787,8,87,499,89,13043,38532,124823,379,1.136363636
2500000,42640,139,60,25,1050,177766,430,43679,8,91,1377,103,,,,558,3.333333333
2500000,42773,728,60,18,1133,76694,1211,93044,8.5,88,1999,100,10649,11359,129243,1819,5
2500000,42882,1280,30,3,2515,189916,84,16500,7.8,82,20275,122,634,2610,42351,443,1.538461538
2500000,41816,1841,25,10,771,57925,92,191303,8,90,939,74,2875,8848,57294,409,0.72
2460000,43418,106,60,20,492,147632,5476,209140,3.3,53,11993,122,,,,113,16.66666667
2400000,44028,7,60,60,776,145258,5993,312594,9.3,83,10538,95,,,,349,5.88
2400000,42458,1314,60,12,59,37064,72,18101,7.3,85,182,37,,,,0,0.66
2314285.714,42801,7,60,15,1302,105053,1193,87165,6.6,76,1540,122,45704,41787,384138,790,5
2306775,41494,7,10,2,2807,19857,31,41277,8.5,85,1312,40,6129,31223,81392,886,0.11
2300000,43186,586,60,15,64,33075,199,9428,6.4,82,95,35,,,,0,0.7
2290000,43672,66,60,60,226,58015,833,34642,8.7,89,1731,101,,,,1742,3.125
2250000,43224,331,60,41,161,45527,74,166736,8.7,86,462,75,,,,202,0.28
2170000,43756,74,80,80,42,23534,28,27148,8.7,82,140,38,,,,1253,0.41
2157142.857,43035,7,60,15,2552,185879,755,80844,7.4,85,4070,134,6158,41589,296788,3642,2.380952381
2153213,41388,7,15,1,2668,923,6,611,7.7,83,219,47,41750,8192,15719,93,0.01
2147445,41688,1594,20,5,1178,37885,16,10311,8.1,73,677,32,3426,25740,132324,388,2.272727273
2100000,41919,217,40,10,2772,229796,304,29261,8.5,81,3196,115,542,28356,125842,246,5.263157895
2100000,41593,75,40,5,1340,80238,12,573,6.8,73,2266,88,,,,240,0.95
2100000,43137,601,40,10,290,89116,521,147930,7.9,91,1456,100,,,,808,1.785714286
2085605,42514,768,60,15,974,82720,418,40915,7.4,86,724,77,4223,24853,309797,235,2.564102564
2070000,44316,61,59.99,59.99,37,443830,2224,112450,7.9,79,511,112,,,,62,0.46
2070000,44134,152,59.99,59.99,35,165013,7,300,8.4,85,139,92,,,,0,0.14
2000000,43375,7,60,24,1999,144841,1221,105475,6,87,3553,134,31704,40199,161086,3242,1.851851852
2000000,42129,2275,19.99,4.99,2975,34720,98,92867,8.8,84,998,26,7158,60734,235815,193,0.47
2000000,43704,470,40,20,2831,,556,156194,7.3,85,2876,127,9193,9099,71506,1409,0
2000000,42388,703,15,7,2528,22894,242,56136,8.2,85,742,89,19357,57992,241718,713,1.724137931
2000000,43319,289,25,20,1828,64368,342,157015,8.5,91,688,119,6323,36614,215542,1372,1.470588235
2000000,43159,1063,29.99,14.99,1452,45561,209,50328,8.2,85,229,25,36224,75114,1341504,134,0.29
2000000,43846,55,60,60,210,36680,2157,115615,8.3,74,821,112,25852,8069,64587,174,1.923076923
2000000,41919,297,20,9,2014,98561,15,2362,6.3,71,1691,85,,,,447,2.702702703
2000000,42421,1405,30,20,1603,60849,158,21634,9.2,90,385,6,34700,86282,3318855,513,1.515151515
2000000,43423,158,35,25,94,82673,783,44919,7.4,77,84,34,24894,14027,72082,25,1.136363636
2000000,43406,264,50,17,141,50206,89,23685,6.5,86,80,32,75666,9050,49948,267,0.93
2000000,43788,306,50,17,264,117736,127,25275,5.8,84,84,35,189464,14575,57370,185,0.94
2000000,43262,219,45,13,307,96838,1717,202465,7.2,76,305,95,8222,18870,213109,74,3.125
2000000,41353,1533,40,10,1421,31879,58,36181,8.3,88,661,46,19149,62538,254860,482,1.25
2000000,43144,369,30,15,2009,80532,1561,211281,8.1,76,2890,108,13853,51037,322461,41,7.142857143
2000000,41593,1409,40,6,1032,45760,41,1050,6.5,54,1225,83,,,,210,1
2000000,42976,369,60,15,571,,174,48323,8.4,85,1103,104,,,,833,0.13
2000000,44302,92,59.99,39.99,209,181682,2004,41212,7,81,354,51,,,,0,1.923076923
2000000,43038,640,25,7.5,26,48537,127,36489,7.6,77,82,33,8667,11822,80935,22,0.37
2000000,42080,910,15,7,497,1333,5,1634,8.1,74,171,49,24,1586,15323,193,0.28
2000000,42130,539,30,7.5,1064,206947,52,9146,7.1,83,1020,101,933,11714,127958,77,5
2000000,43924,5,60,60,417,24192,5619,291639,6.3,84,2393,122,60293,14199,108709,506,9.090909091
2000000,42370,1153,10,8,965,45640,251,37991,7.7,81,119,17,5138,32712,202013,106,1.724137931
2000000,43006,321,5,2.5,1355,319884,30,41989,7.8,0,49,0,5147,53902,129127,217,0.12
2000000,42425,1124,12,10,2501,49704,168,121305,8,84,604,131,1034,19476,135459,254,0.54
2000000,43763,105,60,45,1512,102776,2045,163569,8.2,85,3417,133,,,,534,2.631578947
2000000,43364,365,20,17,152,255,13,971,7.2,72,516,33,72533,19923,126690,1143,0.01
2000000,42300,791,15,7,1693,17993,173,30508,7.7,79,344,61,377,17738,216135,28,1.886792453
2000000,43035,417,60,12,2404,83880,419,86606,7.8,88,2843,182,2113,18331,108471,706,0.44
1983657,41499,1783,40,8,880,37461,54,9920,8.7,87,1144,34,23109,61425,114315,1174,0.26
1967015,42499,783,40,10,1730,66162,304,32618,8,78,748,57,31038,60819,313323,1132,4.166666667
1900000,42094,1636,60,10,51,29614,14,10762,7.6,80,197,44,,,,0,0.77
1853782,41946,1336,20,5,433,240291,52,42224,7.7,65,119,7,596,27342,153837,48,7.142857143
1851868,41571,1336,5,5,3390,313557,14,1608,7.5,74,1361,17,25017,25749,47713,943,5.263157895
1800000,42881,69,10,4,489,97182,1499,125328,6.2,61,450,48,4743,39296,207910,61,1.818181818
1800000,44223,38,19.99,17.99,7,19367,6,83,0,0,0,0,184171,56369,106018,447,0
1700000,43070,554,60,42,218,86182,246,13177,8.7,83,1620,92,,,,1883,2.272727273
1696896,41392,1890,10,6,1529,11310,11,29563,8,68,1062,21,1565,30698,61046,106,1.785714286
1682734,42691,591,45,13,627,142572,218,57195,7.7,84,362,57,5281,29727,240609,541,1.428571429
1631855,42117,1165,19.99,2,484,23075,12,21255,8.4,68,113,6,682,9852,40108,39,0.25
1566672,41802,1480,10,2,659,62979,20,35871,7.8,67,149,15,732,14032,120553,30,0.77
1516227,41753,1529,30,7.5,1523,5630,12,14577,8,82,507,37,5047,10706,141939,55,0.45
1514177,41570,1529,10,2,1672,,7,2210,7,60,294,19,467,16101,45289,62,1.123595506
1500000,42093,92,40,20,261,25275,22,7616,7.3,74,349,62,184,7708,46108,534,0.29
1500000,42178,1879,25,10,1309,24691,90,122434,8.9,76,774,70,4500,5816,52135,3444,0.29
1500000,42059,21,40,8,553,152576,52,10716,7.7,75,968,71,22850,11126,99307,169,6.666666667
1500000,41730,289,10,2,2440,158841,154,18481,6.6,62,1029,62,293,52886,90854,826,4.347826087
1500000,42871,78,50,20,1239,177082,947,64375,8.2,89,1050,128,1873,5696,40702,286,6.666666667
1500000,41877,232,30,4,84,80090,44,16614,7.9,84,1175,77,5129,32780,71671,390,0.98
1500000,42241,1489,50,10,525,43415,15,2836,7.7,74,197,38,4274,5940,53681,653,0.73
1500000,43014,529,10,5,2054,4202,66,33124,7.7,81,506,97,79,7584,43865,476,0.23
1500000,42990,353,60,15,308,146261,86,29038,7.2,83,527,74,928,0,22855,326,0.25
1500000,43076,467,25,10,1149,9793,213,48164,8,89,400,43,14586,47977,136861,1058,0.6
1498449,41421,467,30,7.5,3890,166386,91,19387,5.8,80,609,17,25574,22282,35039,99,2.222222222
1489602,42635,647,10,0,1699,2463,30,4992,7.6,79,28,10,87,0,96692,0,0.15
1488321.429,43417,2,40,20,792,80624,1346,134470,8.2,83,863,131,4198,6607,28578,7,0.68
1471428.571,41912,7,60,2.5,4928,155796,138,16743,8,87,4907,114,48668,58672,212597,932,0.27
1464229,42425,857,25,6,1565,9154,161,28389,8.5,83,644,29,61093,39229,173811,371,1.5625
1413060,42432,850,10,4,670,49128,744,50609,6.9,73,1458,35,59917,0,122330,51,2.702702703
1400000,41992,766,50,20,582,41878,98,5484,8.4,85,446,62,5392,22724,97354,93,0.54
1400000,42154,1980,20,16.74,278,67519,14,20249,0,0,0,0,7910,43344,222490,13,0.04
1400000,42758,530,40,20,1219,69595,847,174794,6.6,68,339,65,22210,39149,230628,45,4.166666667
1400000,43777,11,60,36,1417,17887,2230,290087,5.3,93,16588,99,,,,1578,10
1400000,43214,366,30,13,1034,54510,689,58338,8.4,84,498,66,5568,33692,281463,987,0.88
1400000,42185,1545,20,0,6,12709,14,611,6.4,61,95,40,,,,23,0.11
1400000,43769,265,60,60,461,77451,751,18590,8.1,95,2176,71,,,,452,6.666666667
1376755,42860,250,60,15,3553,182473,781,162499,8.1,84,2159,128,6298,24753,159862,542,11.11111111
