0,1,2,3,4,5,6,7
446523,527,1005,28728,20,113,172,34
440000,4,15243,1830,121,122,6,8
433874,2930,1735,100835,117,110,79,281
431669,807,21013,8270,174,61,694,24
422000,1085,226519,157125,2364,834,750,1343
403871,331,141325,37298,465,242,83,121
400598,87,2380,437,113,576,273,7
400000,107,24907,34644,203,405,5,53
400000,11,708,3968,22,979,441,77
386418,237,258,925,36,186,5,75
382313,284,14688,32512,8,326,0,74
380000,306,503,399,101,10,13,21
380000,51,19894,72,95,308,191,11
375882,405,528,0,34,4,4,23
370000,48,860,6497,74,3,4,11
364090,779,19261,539,207,525,4,28
363459,203,50261,25275,90,337,192,41
363113,567,2539,7327,111,219,8,8
360956,203,17871,15937,136,930,14,11
360000,87,2418,6613,79,239,96,27
355878,646,1553,462,39,286,13,29
351645,214,66322,42312,85,11,104,11
350000,230,70496,30823,461,316,94,76
350000,57,6480,18459,82,698,78,35
350000,271,19734,10960,248,1986,170,85
350000,505,109479,3697,1194,84,120,139
346703,85,7242,1048,74,506,9,69
343046,243,19159,331,1304,662,10,69
337931,175,24679,6818,58,617,29,68
334799,993,11731,3993,229,92,146,53
334285,224,113867,162369,1599,165,37,535
330158,307,5860,9169,75,66,9,37
324405,470,16975,1117,39,90,4,39
322132,326,211109,817,132,90,4,160
321637,154,9592,10063,110,90,18,7
320000,53,21657,182,18,4,4,34
319866,609,1547,1485,79,2,27,14
314885,1039,950,660,90,5,26,13
310000,209,44577,7516,382,556,149,27
310000,11,14293,10314,87,320,36,12
308987,502,4557,10804,38,0,32,10
306906,233,2989,30084,111,87,57,55
305941,966,985,82,251,103,7,11
305686,1493,56637,10511,394,131,1113,196
303545,117,2612,5662,81,115,111,9
300000,155,12393,1222,69,188,5,19
300000,631,34891,37570,440,484,772,140
300000,15,3050,6762,89,94,14,10
297947,664,27883,21217,118,237,103,31
296006,100,972,26018,90,494,404,86
295645,70,11717,45429,97,85,57,17
295596,397,497668,30372,45,129,9,172
290658,774,543,11295,179,787,989,17
290000,42,63366,1881,267,125,4,81
290000,86,24770,134,95,83,49,153
289619,531,26333,26795,325,83,4,9
283593,714,518,550,230,82,6,15
281722,168,54414,18874,303,3,12,28
280490,2054,108402,78744,993,389,387,437
279675,1068,40285,927,225,26,89,59
276003,494,12279,34274,27,81,24,59
272986,521,4035,118541,234,91,4,58
270000,145,39950,2200,150,30,7,21
269998,186,13309,31947,130,9,8,14
267763,573,601,620,9,337,5,58
266902,1109,4374,4678,109,167,144,57
265816,581,2921,182,257,406,8,57
264285,598,77918,41465,179,180,53,9
260785,53,5676,3585,117,1101,109,9
260000,96,617,28402,516,341,5,55
