SteamCCU,SteamComments,SteamFollowers
739,3260,58584
1520,14884,5382
88,4381,44728
3586,14370,93575
,,
163,1655,18167
445,8499,116285
2357,11120,48131
,,3870
25,1117,2529
16,2101,13210
82,86,2924
939,1038,5352
156,2346,33790
62,1488,9639
60,383,13729
,,
510,635,2068
344,999,3187
131,1253,2056
425,497,1213
39,1149,7102
16,114,1578
27,265,3168
436,2400,26264
23,865,10402
91,2241,21871
,,
1933,3203,23794
52,690,4680
81,3792,9509
28,1429,8467
131,1626,25049
74,1128,18143
748,2359,21125
444,2476,41624
99,682,5546
40,1083,8290
558,2116,9382
4,70,874
432,1819,14579
3374,7804,57219
298,694,12715
83,1248,22434
11,1044,3889
10,394,884
15,433,8958
398,2160,33983
18,809,3509
205,2934,26187
57,998,34586
14,1030,1718
35,1769,22727
46,1772,18936
,,
13,195,1877
6,499,460
6,947,20000
67,923,11992
177,2246,28017
7,1095,2141
21,705,5101
51,1305,24649
511,1281,58020
17,484,2398
8,1029,9126
49,779,3906
8,606,1027
100,1246,24387
355,1801,47629
6,434,3254
29,1457,8603
31,918,5282
9,1126,13268
,,
17,699,5082
347,6722,26772
30,551,4476
187,1857,2624
14,378,1521
13,968,4017
3912,386,6078
54,1234,17076
186,700,6050
118,1552,14911
62,628,2211
62,380,1753
3,617,2781
7,330,1434
5,280,4017
32,2264,34993
18,856,19447
172,1239,18004
17,7424,15460
6,156,1691
16,488,6734
44,2866,8137
30,825,3504
7,519,1961
2366,1995,1187
,,
14,475,4788
19,793,15224
,,
33,7977,77833
109,597,1681
28,1328,5786
52,706,8637
11,350,2352
4,559,573
4,462,1429
132,7675,39376
16,259,5390
13,1167,16103
174,665,2314
4,197,792
579,26,33997
30,1234,5059
3,468,4757
7,406,4707
10,505,11776
13,1291,9337
7,583,4772
49,984,11578
129,913,11795
618,337,6680
,,
60,1215,20533
102,902,13624
39,514,10282
6,321,903
26,2036,18876
22,142,2978
9,652,3079
11,1051,6593
7,31,263
77,924,7039
754,1078,35104
593,341,4403
5,81,1357
505,3739,29074
5,288,940
336132,2283,6333
141,620,7869
854,3379,22090
13,651,5548
6,589,623
24,975,9488
316,325,3146
375,1654,13041
,,
7,546,3146
21,1192,14763
,,
23,485,707
3,387,281
20,568,9074
,,
3,352,2352
3,623,3722
20,820,15897
47,767,10323
224,2877,13016
12,574,6360
8,109,1389
14,764,4739
24,666,18513
356,689,6530
,,
6,336,606
7,339,1122
26,460,11031
16,862,6522
35,278,1461
30,626,13708
280,928,16825
29,930,4688
6,250,613
4,164,1479
56,207,3551
4,424,4434
7,315,15441
,,
39,593,11956
78,443,6335
5,293,493
,,
35,601,11561
49,430,16959
8,48,1330
13,295,892
129,1278,24081
5,38,510
5,296,2639
27,533,10817
28,777,5334
13,152,3511
20,1411,25923
10,250,376
3,411,422
13,455,1432
19,380,5282
77,726,10008
4,261,6569
,,
171,3662,20919
10,270,6606
5,322,1305
1949,10989,160259
14,608,3543
394,1430,21535
75,366,560
23,327,1158
274,74,3116
17,386,10843
7,539,2711
236,356,2365
9,346,1991
67,381,18634
5,330,2815
112,554,345
6,495,884
18,304,882
10,548,1400
8,1331,5540
4,301,3094
2,92,206
8,197,1480
179,79,3774
7,140,1039
5,379,367
3,47,158
,,
,,
17,740,7816
,,
18,429,3770
163,1328,11780
14,572,9297
64,474,10112
2,26,1465
62,169,1403
2,10,106
8,625,4334
9,689,3933
66,505,3223
41,226,855
10,150,708
474,695,754
360,1128,10256
22,474,27224
15,312,5151
50,604,12393
7,256,1532
3,35,389
95,759,13406
33,562,14938
58,617,25748
63,669,5671
2,220,412
15,1149,4316
6,199,727
200,328,2433
6,277,2092
37,334,4018
3,83,940
3,273,733
390,458,2636
3,150,940
122,436,2911
2,16,229
122,1552,27256
11,479,4991
99,545,4244
4,167,3312
4,33,782
,,
,,
,,
16,1177,8482
14,473,5531
665,1180,23341
3,280,365
5,416,1557
29,474,5897
67,759,8413
13,469,6942
32,170,4181
28,326,3170
4,142,463
,,
,,
7,350,4973
8,318,3489
5,384,1309
245,930,22628
8,351,2865
7,248,3858
3,336,433
7,348,7285
11,115,1253
7,314,1596
,,
5,145,5866
6,243,428
27,245,5528
8,486,1725
805,67,361
,,
72,368,7653
13,236,5851
12,144,2743
12,466,4273
3,156,202
12,445,14287
63,171,1875
16,435,6908
169,4126,35835
135,585,27487
5,365,2515
77,462,10130
44,333,15784
4,204,1915
,,
17,440,5173
