Date,Gap,PriceMax,PriceMin,Chinese,French,Japanese,Korean,Russian,MCUserScore,MCCriticScore,MCRatings,MCMedia,SteamCCU,SteamComments,SteamFollowers
42072,1210,15,14.99,1,1,0,0,1,7,58,38,26,65,3301,46232
42348,934,20,10,1,1,1,1,0,7.3,66,101,7,192,2829,63643
42088,1194,10,1.99,1,1,0,0,1,6.3,62,26,19,20,844,10664
41886,1396,20,19.99,1,1,1,1,1,6.9,67,92,23,254,3195,17761
41844,1438,10,2,1,1,0,0,0,6.4,64,135,45,33,2376,13813
41541,1438,20,19.99,1,1,0,0,0,6,68,45,14,647,1650,10155
43222,60,40,14,1,1,0,1,1,5.3,75,116,51,22797,5796,97455
42878,404,40,14,1,1,0,0,1,7.4,83,55,24,662,4662,69368
41500,159,5,1,1,1,0,0,1,7.2,62,129,35,21,3296,32428
41647,1635,10,8,1,0,0,0,1,7.3,66,57,14,9,560,7104
41555,1635,10,2,1,0,0,0,0,7.6,71,62,6,31,919,3376
42440,842,15,4,1,1,1,1,1,5.5,75,57,16,1716,4522,40248
42292,990,14.99,7,1,1,1,1,1,7.8,78,37,12,140,2553,19269
41928,1354,15,1.49,1,0,0,0,0,7.8,84,156,8,52,2391,21409
41530,968,5,2,1,0,0,0,0,7.5,62,56,13,14,1494,8033
41515,1752,20,,0,1,1,0,0,5.9,56,107,12,12,0,1776
42326,956,20,2,1,1,0,0,1,7.4,73,155,45,197,3026,42891
41506,956,5,4.99,0,1,1,0,0,6.7,73,53,5,9,1717,3071
42310,972,40,39.99,1,1,0,0,1,6,72,304,45,1990,3689,77101
42220,1062,10,5,1,0,1,0,0,7.9,66,44,9,42,2262,28297
42075,1207,15,14.99,1,1,1,1,1,4.3,64,127,58,63,1983,20240
41550,1207,15,4,1,0,1,0,0,6.9,45,102,5,41,1485,9640
41744,1538,4.99,1,1,0,0,0,1,6.1,59,40,8,47,3162,18541
41390,1538,6,3,1,1,0,0,1,7.2,59,277,32,129,2047,8160
41704,1578,15,4,1,0,0,0,0,7.7,75,47,13,82,1794,10401
41515,1255,6,2,0,1,1,0,0,8.1,79,142,43,42,1603,6768
41568,1767,15,1.5,0,1,0,0,1,6.8,77,46,14,436,1399,7893
42314,968,8.99,4,1,1,0,0,1,7.2,79,52,10,613,2065,17704
41851,1431,15,14.99,1,1,1,0,1,1.5,57,510,47,32,3901,4784
41715,1567,10,2,1,1,0,0,0,3,45,171,14,28,2454,5379
41803,1479,15,14.99,1,1,0,1,1,7.6,73,55,17,76,1743,5663
42690,592,15,14.99,1,1,0,0,1,2.1,43,75,7,90,4924,40009
41796,1486,4.99,0.49,1,0,0,0,0,6.2,70,9,4,826,622,512
41800,1482,30,3,1,1,0,0,0,5.7,52,109,13,73,3827,19181
42712,570,10,5.99,1,1,1,1,0,8.7,80,80,8,248,12788,46651
42199,1083,15,5,1,0,0,0,0,4.9,72,53,32,100,1812,19713
42249,1033,20,10,1,0,0,0,0,6.4,72,76,19,116,2321,28974
41695,1587,40,8,0,1,1,0,0,7.7,58,545,16,108,0,15039
41443,472,15,14.99,1,1,0,0,0,6.9,80,36,9,52,1060,6766
41928,1354,15,7,1,1,1,0,0,4.8,61,66,20,148,1553,10322
42459,823,15,14.99,1,1,1,0,1,7.6,74,38,16,267,4344,34859
42684,598,29.99,10,1,1,0,0,0,7.7,81,28,5,312,2394,24277
41525,598,9,4,1,0,0,0,0,7.7,83,83,7,34,2348,13344
42263,1019,9.99,5,1,1,1,0,1,7.4,69,18,6,958,2137,19404
41380,1019,10,2.49,1,1,1,0,1,5.4,61,68,15,12,959,4201
41409,1873,15,2,1,1,0,0,1,7.7,77,129,42,25,667,3569
41774,1508,15,3,1,0,1,0,1,6.4,55,96,9,32,2704,19446
41730,1552,20,5,1,1,0,0,1,5.6,60,63,7,153,1587,3830
42781,501,7.99,3,1,1,1,1,1,6.8,78,13,5,156,5345,28604
42431,851,18,17.99,1,1,1,0,1,5.9,46,21,8,149,2491,17264
41576,1286,25,24.99,1,1,0,0,0,7.2,59,118,7,54,3110,7239
42818,464,15,14.99,1,0,0,0,0,7.7,80,81,11,5565,8045,43810
41449,676,15,14.99,0,1,1,0,0,7.2,82,24,4,4,357,399
42032,1250,10,2,1,1,0,0,0,7.6,61,155,9,69,3262,18375
41537,902,5,2,1,0,0,0,0,7.6,77,116,7,12,2795,5888
42214,1068,11.99,1.67,1,0,0,0,0,6.1,66,10,6,33,2118,11877
41705,1577,9.99,2,1,0,0,0,0,4.6,63,7,4,10,1018,1423
43076,206,50,16.49,1,1,0,0,1,7.7,73,147,37,1643,3534,95545
41424,206,20,19.99,1,0,0,0,1,8.1,77,208,21,45,1132,12635
42888,394,10,2.49,1,1,0,1,1,2.6,68,14,8,172,5009,27808
42255,1027,10,2.49,1,1,0,0,1,7.8,72,16,16,516,1686,29733
41382,1027,15,14.99,1,1,0,0,0,7.7,70,143,23,8,2594,5740
42621,661,20,4,1,0,0,0,0,7.8,71,18,13,420,487,26071
41970,1312,10,1,1,0,0,0,0,6,68,69,21,53,921,11507
42037,1245,4.99,0.49,1,0,0,0,0,6.4,76,8,4,12,1138,5279
42522,760,20,19.99,1,0,1,0,0,7.2,70,41,11,59,2923,49602
41466,978,15,14.99,0,1,1,0,0,4.3,73,73,6,7,1232,1711
42881,401,4.99,1,1,0,0,0,0,8,81,29,4,80,3621,13057
41774,1508,10,2,1,0,0,0,0,7.6,72,8,12,22,1198,6731
42453,829,20,19.99,1,1,1,1,1,7.8,80,109,29,59,2204,39303
41548,404,9,2,1,1,0,0,1,5.7,47,33,5,67,804,1701
42153,1129,14.99,7,1,0,0,0,0,8.7,75,34,4,313,1171,20424
42076,1206,9.99,1,1,0,0,0,0,5.4,55,20,5,24,945,4097
42187,1095,20,5,1,1,0,0,1,7.6,71,74,17,77,1382,15164
42450,832,14.99,7,0,1,1,0,0,6.1,50,15,4,63,2683,25220
42391,891,20,1,1,1,0,0,1,5.7,62,9,9,20,774,1979
42706,576,13,3,1,0,0,0,0,5.6,67,9,8,27,1997,17882
42040,1242,10,2.99,1,1,0,0,1,1.7,47,228,20,117,1907,16151
41824,1458,9.99,1,1,0,0,0,0,6,66,4,4,18,258,489
43217,65,12,6,1,0,0,0,0,7,73,29,11,1321,4127,17883
42340,942,29.99,2,1,1,1,1,1,6.8,69,36,26,544,917,16257
42418,864,20,2,1,0,0,0,0,7.2,83,64,20,166,5269,17126
42389,893,12,10,1,1,0,0,1,7.9,79,184,52,1216,3906,98630
42039,1243,20,2,1,1,0,0,1,7.7,77,72,26,333,1365,15149
41305,1243,20,2.49,1,0,0,0,0,6.7,70,18,12,10,166,596
43251,260,20,13,1,0,0,0,1,7.5,71,24,17,940,3686,17052
41954,1328,15,4,1,1,1,0,0,6.3,69,26,10,25,1117,2529
42292,990,15,4,1,1,0,0,1,8,81,215,17,156,2346,33790
42110,1172,4.99,0.49,0,1,0,0,1,3.6,39,7,4,510,635,2068
41775,1507,25,3,1,0,0,0,1,6.3,73,74,13,344,999,3187
41582,1507,5,1,1,1,1,0,1,6.9,65,42,19,131,1253,2056
41589,1700,9,1.34,1,1,1,0,0,7.6,73,24,7,425,497,1213
42103,1179,9.99,2,1,0,0,0,0,6.6,70,10,4,39,1149,7102
43076,206,19.99,19.99,1,1,1,0,1,8.3,90,12,4,436,2400,26264
42661,621,10,2,1,1,1,1,1,6.4,71,21,11,81,3792,9509
42048,1234,20,4,1,1,0,0,1,3.3,48,54,10,28,1429,8467
41487,1234,27,5,1,0,0,0,0,7.6,62,13,7,131,1626,25049
42115,1167,15,4,0,1,1,0,0,5.5,72,30,17,74,1128,18143
41739,1543,20,5,1,0,0,0,1,7.1,73,85,22,99,682,5546
42241,1041,9.99,5,1,0,1,0,0,6,72,7,5,558,2116,9382
42418,90,20,8,1,0,1,0,0,8.5,82,138,10,3374,7804,57219
42208,1074,15,7,1,0,1,0,0,7.3,72,31,9,83,1248,22434
41478,1074,16,8,0,1,1,0,1,8.1,67,38,4,11,1044,3889
41318,1804,20,5,1,0,0,0,0,5.4,45,148,28,10,394,884
41747,1535,20,5,1,0,0,0,0,6.9,72,40,9,15,433,8958
42852,430,30,11.99,1,1,0,0,1,8,74,101,33,398,2160,33983
41288,430,15,10,1,0,0,0,0,6.8,55,16,13,18,809,3509
42303,979,10,4.99,1,0,0,0,1,7.9,85,59,10,57,998,34586
41458,979,4,2,0,1,1,0,0,4.2,41,265,21,14,1030,1718
42627,655,20,19.99,1,1,0,0,0,6.7,75,47,34,35,1769,22727
42103,1179,30,29.99,1,1,0,0,1,5.4,70,103,17,46,1772,18936
41361,1073,3,1,1,0,0,0,0,6.4,73,21,8,6,499,460
42198,1084,9,1.79,1,1,0,0,1,5.8,59,18,10,6,947,20000
41767,1515,20,5,1,0,0,0,0,7.4,64,17,7,7,1095,2141
41718,1564,20,5,1,1,0,0,1,7.7,72,36,17,21,705,5101
43223,59,16.99,11.99,1,1,0,0,1,7.9,72,7,5,511,1281,58020
42093,1189,10,2,1,0,0,0,0,6.2,69,11,8,17,484,2398
41704,1578,6,5.99,1,0,0,0,0,7.1,87,145,8,8,1029,9126
42538,744,20,19.99,1,1,0,0,1,5.4,75,13,11,49,779,3906
41782,1500,59.99,14.99,1,0,0,0,0,7.9,81,97,6,100,1246,24387
42992,290,30,29.99,1,1,0,0,1,6.5,74,12,16,355,1801,47629
42270,1012,13,3,1,0,0,0,0,7.6,60,14,10,6,434,3254
42359,923,15,14.99,1,0,0,0,0,7.3,77,24,15,29,1457,8603
42110,1172,15,3,1,1,0,0,0,6.2,66,33,9,17,699,5082
42292,990,15,14.99,1,0,0,0,0,7.2,78,19,20,30,551,4476
