ds,y
2022/7/3,76380
2022/7/4,76494
2022/7/5,76590
2022/7/6,76684
2022/7/7,76783
2022/7/8,76861
2022/7/9,76913
2022/7/10,76989
2022/7/11,77050
2022/7/12,77113
2022/7/13,77160
2022/7/14,77200
2022/7/15,77260
2022/7/16,77312
2022/7/17,77368
2022/7/18,77417
2022/7/19,77470
2022/7/20,77506
2022/7/21,77539
2022/7/22,77566
2022/7/23,77619
2022/7/24,77669
2022/7/25,77712
2022/7/26,77779
2022/7/27,77877
2022/7/28,77972
2022/7/29,78043
2022/7/30,78121
2022/7/31,78217
2022/8/1,78293
2022/8/2,78357
2022/8/3,78386
2022/8/4,78432
2022/8/5,78468
2022/8/6,78499
2022/8/7,78545
2022/8/8,78585
2022/8/9,78613
2022/8/10,78653
2022/8/11,78685
2022/8/12,78705
2022/8/13,78739
2022/8/14,78768
2022/8/15,78794
2022/8/16,78820
2022/8/17,78862
2022/8/18,78882
2022/8/19,78912
2022/8/20,78943
2022/8/21,78980
2022/8/22,79018
2022/8/23,79039
2022/8/24,79066
2022/8/25,79091
2022/8/26,79105
2022/8/27,79142
2022/8/28,79178
2022/8/29,79202
2022/8/30,79225
2022/8/31,79241
2022/9/1,79253
2022/9/2,79273
2022/9/3,79306
2022/9/4,79336
2022/9/5,79357
2022/9/6,79386
2022/9/7,79410
2022/9/8,79434
2022/9/9,79446
2022/9/10,79476
2022/9/11,79501
2022/9/12,79537
2022/9/13,79591
2022/9/14,79668
2022/9/15,79744
2022/9/16,79839
2022/9/17,79897
2022/9/18,79976
2022/9/19,80037
2022/9/20,80068
2022/9/21,80096
2022/9/22,80119
2022/9/23,80138
2022/9/24,80173
2022/9/25,80207
2022/9/26,80232
2022/9/27,80250
2022/9/28,80266
2022/9/29,80287
2022/9/30,80316
2022/10/1,80343
2022/10/2,80381
2022/10/3,80404
2022/10/4,80425
2022/10/5,80443
2022/10/6,80464
2022/10/7,80483
2022/10/8,80494
2022/10/9,80520
