Developer,Publisher,IP,Date,Gap,PlayerType,PriceMax,PriceMin,Rawg,Chinese,French,Spanish,Japanese,Korean,Russian,Turkish,Portuguese,Polish,Action,ActionAdventure,Role-Playing,Strategy,Adventure,First-Person,Fighting,Puzzle,Arcade,Sci-Fi,Open-world,Survival,PC,PS4,XBOX,NS,Youtube,Twitch,MCUserScore,MCCriticScore,MCUserRatings,MCMediaRatings,SteamCCU,SteamComments,SteamFollowers,Douban,Google Trends,IsFamous
5,5,3,42157,416,2,50,17,1456,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,184676481.5,26967477,15848273,0,175098,57668,5.3,70,443,51,83446,250427,1052120,402,4.166666667,1
7,9,10,43714,24,1,60,20,106,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1058610681,102888354,56313146,40368930,76250,57229,1.4,80,1245,73,31410,9678,23944,131,3.571428571,1
8,9,10,43784,3,0,60,60,69,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,43431080,18284,184716,4.1,80,6573,121,0,0,0,490,11.11111111,1
5,5,4,41290,1992,0,25,5,2371,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,67906582.94,0,0,0,87626,41378,8.7,79,1202,18,48356,229941,417587,1042,2.857142857,1
9,9,8,42327,719,0,40,12,2215,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,224160434.6,35256847,20266403,0,133670,5207,6.9,78,2939,122,4729,10936,167085,2645,1.098901099,1
8,9,9,42663,1021,2,60,15,2204,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,328007835.2,51640543,28998707,0,39634,68833,8,88,1214,115,162657,49569,489938,5010,0.52,1
10,10,10,43769,61,1,60,60,158,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,42774905,127541,53972,8.7,86,737,103,0,0,0,763,0.5,1
6,6,1,43220,190,1,20,12,1450,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,612495474.4,78800420,0,0,149356,53419,7.3,83,326,23,25874,141324,521384,602,7.142857143,1
6,7,4,41505,190,0,20,4,3550,0,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,87197618.81,0,0,0,168681,8832,7.4,86,1705,45,42270,62234,67579,932,1.315789474,1
8,9,10,42178,111,0,60,5,4456,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,189157958.3,27991458,16394042,0,299080,12640,7.8,87,6329,119,27406,51641,128153,2197,7.692307692,1
5,5,1,43007,731,0,20,14,2245,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,482838971.8,0,37938923,9441215,164130,184477,8.4,88,2060,142,19026,46831,233444,179,7.142857143,1
8,9,5,42031,200,1,40,14,1989,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,159891102.7,20823591,12573659,0,331407,134887,7.9,75,3340,124,45876,117849,461960,1017,12.5,1
9,9,8,41961,86,2,30,7.5,2795,1,1,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,147561294.8,17410321,10754429,0,495006,4862,7.7,85,3775,115,16963,23815,273062,1760,14.28571429,1
9,9,10,42304,92,2,60,10,1073,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,19668656,0,137608,128338,6.5,84,2837,101,0,0,0,378,0.52,1
9,9,10,43494,7,0,60,20,725,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,92160934,50595566,0,93732,127041,8.3,83,2434,110,0,0,0,251,0.12,1
8,9,3,42465,1152,0,40,10,2997,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,262191536.8,0,23852885,0,115445,63330,7.1,77,2759,120,2719,10899,102215,1032,3.03030303,1
7,9,8,41702,711,0,40,30,2942,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,109524976.6,4781222,4023278,0,229588,29136,8.6,87,2069,55,34811,28407,106334,264,3.571428571,1
8,8,8,43490,246,0,60,20,1087,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,826643058.8,91965890,50491610,0,190048,314244,9,93,4250,137,74277,23616,223795,247,9.090909091,1
8,10,1,42055,1675,0,60,4,2045,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,21993855,0,0,94538,4011,6.7,63,3552,94,0,0,0,1325,3.225806452,1
