,ds,trend,cap,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,announcement,announcement_lower,announcement_upper,holidays,holidays_lower,holidays_upper,release,release_lower,release_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
80,2022-12-04,14348.798070254203,46831.2,14205.35351404747,14244.825791399884,14348.798070254203,14348.798070254203,-123.91619837921593,-123.91619837921593,-123.91619837921593,0.0,0.0,0.0,-127.39530361999999,-127.39530361999999,-127.39530361999999,-127.39530361999999,-127.39530361999999,-127.39530361999999,3.479105240784072,3.479105240784072,3.479105240784072,0.0,0.0,0.0,14224.881871874986
81,2022-12-05,14733.815349653738,46831.2,14489.670859202268,14530.359347966103,14733.815349653738,14733.815349653738,-223.91702786215077,-223.91702786215077,-223.91702786215077,0.0,0.0,0.0,-232.66442628,-232.66442628,-232.66442628,-232.66442628,-232.66442628,-232.66442628,8.747398417849226,8.747398417849226,8.747398417849226,0.0,0.0,0.0,14509.898321791587
82,2022-12-06,15260.403498702615,46831.2,14812.557974702951,14851.890988057285,15260.403498702615,15260.403498702615,-428.498154767775,-428.498154767775,-428.498154767775,0.0,0.0,0.0,-433.130061,-433.130061,-433.130061,-433.130061,-433.130061,-433.130061,4.631906232225061,4.631906232225061,4.631906232225061,0.0,0.0,0.0,14831.90534393484
83,2022-12-07,15786.991647751502,46831.2,15169.475234587982,15208.589471795136,15786.991647751502,15786.991647751502,-598.0997333568362,-598.0997333568362,-598.0997333568362,0.0,0.0,0.0,-590.0848278,-590.0848278,-590.0848278,-590.0848278,-590.0848278,-590.0848278,-8.014905556836194,-8.014905556836194,-8.014905556836194,0.0,0.0,0.0,15188.891914394666
84,2022-12-08,16313.579796800379,46831.2,15509.215949712267,15546.09242613239,16313.579796800379,16313.579796800379,-786.6636914655961,-786.6636914655961,-786.6636914655961,0.0,0.0,0.0,-778.197953,-778.197953,-778.197953,-778.197953,-778.197953,-778.197953,-8.465738465596164,-8.465738465596164,-8.465738465596164,0.0,0.0,0.0,15526.916105334783
85,2022-12-09,16840.167945849273,46831.2,16001.78952348807,16040.317392398345,16840.167945849273,16840.167945849273,-819.2452213464009,-819.2452213464009,-819.2452213464009,0.0,0.0,0.0,-813.4735544,-813.4735544,-813.4735544,-813.4735544,-813.4735544,-813.4735544,-5.771666946400893,-5.771666946400893,-5.771666946400893,0.0,0.0,0.0,16020.922724502872
86,2022-12-10,17417.569720807238,46831.2,16441.659076100663,16481.77650413448,17417.569720807238,17417.569720807238,-956.6360249220827,-956.6360249220827,-956.6360249220827,0.0,0.0,0.0,-962.0299259999999,-962.0299259999999,-962.0299259999999,-962.0299259999999,-962.0299259999999,-962.0299259999999,5.39390107791733,5.39390107791733,5.39390107791733,0.0,0.0,0.0,16460.933695885156
87,2022-12-11,17994.97149576522,46831.2,16903.186359102838,16942.452662664517,17994.97149576522,17994.97149576522,-1072.0579417592241,-1072.0579417592241,-1072.0579417592241,0.0,0.0,0.0,-1075.537047,-1075.537047,-1075.537047,-1075.537047,-1075.537047,-1075.537047,3.4791052407758944,3.4791052407758944,3.4791052407758944,0.0,0.0,0.0,16922.913554005998
88,2022-12-12,18572.373270723187,46831.2,17586.166105077296,17625.240959758543,18572.373270723187,18572.373270723187,-966.4459973821365,-966.4459973821365,-966.4459973821365,0.0,0.0,0.0,-975.1933958000001,-975.1933958000001,-975.1933958000001,-975.1933958000001,-975.1933958000001,-975.1933958000001,8.74739841786354,8.74739841786354,8.74739841786354,0.0,0.0,0.0,17605.92727334105
89,2022-12-13,19149.849786046303,46831.2,19256.650998477162,19295.1281576617,19149.849786046303,19149.849786046303,127.07988383222272,127.07988383222272,127.07988383222272,0.0,0.0,0.0,122.4479776,122.4479776,122.4479776,122.4479776,122.4479776,122.4479776,4.631906232222733,4.631906232222733,4.631906232222733,0.0,0.0,0.0,19276.929669878526
90,2022-12-14,19736.09128755383,46831.2,22142.949475624413,22181.62669235857,19736.09128755383,19736.09128755383,2425.8220714431686,2425.8220714431686,2425.8220714431686,0.0,0.0,0.0,2433.836977,2433.836977,2433.836977,2433.836977,2433.836977,2433.836977,-8.014905556831549,-8.014905556831549,-8.014905556831549,0.0,0.0,0.0,22161.913358997
91,2022-12-15,20322.4055097043,46831.2,24168.1303640607,24204.820296286543,20322.4055097043,20322.4055097043,3863.5300723344058,3863.5300723344058,3863.5300723344058,0.0,0.0,0.0,3871.9958108,3871.9958108,3871.9958108,3871.9958108,3871.9958108,3871.9958108,-8.465738465594367,-8.465738465594367,-8.465738465594367,0.0,0.0,0.0,24185.935582038703
